cell_line,sample_id,patient_id,source_vcf,source_maf,vcf_file_sha256,vcf_uncompressed_sha256,prior_manifest_hash_scope,recovery_declared_cluster_hash,recovery_hash_matching_local_scope,recovery_uncompressed_label_correct,cluster_bytes_rehashed_locally,vep_task_hash_in_vcf,vep_task_hash_in_successful_trace,vep_task_trace_match,filtered_vcf_records_before_vep,annotated_vcf_records,maf_records,vcf_pass,pass_retagged_common_variant,maf_pass,other_filter_changes,common_variant_subpop_cutoff
OV1369-R2,OV1369_R2_P66,1369,judy_archive/data/wes - old/mutect2/OV1369_R2/OV1369_R2_P66.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV1369_R2/OV1369_R2.maf,6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012,6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012,uncompressed file bytes,6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012,uncompressed stream,True,False,b9/0b5eccb941eedcf6b18c41dc77ee6f,b9/0b5ecc,True,26332,26332,26332,902,202,700,0,0.0004
OV2085,OV2085_P64,OV2085,judy_archive/data/wes - old/mutect2/OV2085/OV2085_P64.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV2085/OV2085.maf,f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5,f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5,uncompressed file bytes,f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5,uncompressed stream,True,False,77/8eff382fec51fd585f2bcf2c85a6c2,77/8eff38,True,25019,25019,25019,677,135,542,0,0.0004
OV2295,OV2295_P61,2295,judy_archive/data/wes - old/mutect2/OV2295/OV2295_P61.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV2295/OV2295.maf,03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41,03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41,uncompressed file bytes,03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41,uncompressed stream,True,False,dd/37a3938a34ea2cf150901468cd6baf,dd/37a393,True,25914,25914,25914,632,139,493,0,0.0004
OV2295-R2,OV2295_R2_P70,2295,judy_archive/data/wes - old/mutect2/OV2295_R2/OV2295_R2_P70.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV2295_R2/OV2295_R2.maf,ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02,ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02,uncompressed file bytes,ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02,uncompressed stream,True,False,84/e9e03b3fcb6b3d3107381a9c606aec,84/e9e03b,True,25038,25038,25038,834,157,677,0,0.0004
OV3133-R,OV3133_R_P71,3133,judy_archive/data/wes - old/mutect2/OV3133_R/OV3133_R_P71.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV3133_R/OV3133_R.maf,cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972,cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972,uncompressed file bytes,cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972,uncompressed stream,True,False,f4/f8702c34ad3508e7d3f484796d2865,f4/f8702c,True,22442,22442,22442,686,156,530,0,0.0004
OV3133-R2,OV3133_R2_P58,3133,judy_archive/data/wes - old/mutect2/OV3133_R2/OV3133_R2_P58.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV3133_R2/OV3133_R2.maf,eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e,eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e,uncompressed file bytes,eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e,uncompressed stream,True,False,97/5557dc6f3e56eec4697c3bca19c8e7,97/5557dc,True,27303,27303,27303,654,172,482,0,0.0004
OV3291,OV3291_P46,3291,judy_archive/data/wes - old/mutect2/OV3291/OV3291_P46.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV3291/OV3291.maf,26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48,26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48,uncompressed file bytes,26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48,uncompressed stream,True,False,2c/578d4b784b1c15d065790a409e4c5c,2c/578d4b,True,25299,25299,25299,671,175,496,0,0.0004
TOV1369,TOV1369_P65,1369,judy_archive/data/wes - old/mutect2/TOV1369/TOV1369_P65.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV1369/TOV1369.maf,743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d,743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d,uncompressed file bytes,743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d,uncompressed stream,True,False,84/2a4c15a3bdff2591fba4c52844f553,84/2a4c15,True,20960,20960,20960,969,209,760,0,0.0004
TOV2295-R,TOV2295_R_P57,2295,judy_archive/data/wes - old/mutect2/TOV2295_R_P57/TOV2295_R_P57.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV2295_R_P57/TOV2295_R_P57.maf,9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632,9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632,uncompressed file bytes,9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632,uncompressed stream,True,False,47/59b52d85e92e84ee2a11c597e0c109,47/59b52d,True,27940,27940,27940,648,148,500,0,0.0004
TOV2835EP,TOV2835EP_P64,TOV2835EP,judy_archive/data/wes - old/mutect2/TOV2835EP_P64/TOV2835EP_P64.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV2835EP_P64/TOV2835EP_P64.maf,4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472,4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472,uncompressed file bytes,4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472,uncompressed stream,True,False,e3/90e35e427a26078924f8e4d64da7c5,e3/90e35e,True,29323,29323,29323,780,151,629,0,0.0004
