"package","version","installed"
"R","4.5.2",TRUE
"Bioconductor","3.21",TRUE
"platform","aarch64-apple-darwin20",TRUE
"OS","macOS Tahoe 26.5.1",TRUE
"seed","1234",TRUE
"recorded_utc","2026-09-06 02:05:41 UTC",TRUE
"AnnotationDbi","1.70.0",TRUE
"BiocManager","1.30.27",TRUE
"Biostrings","2.76.0",TRUE
"BSgenome.Hsapiens.UCSC.hg38","1.4.5",TRUE
"circlize","0.4.18",TRUE
"cluster","2.1.8.2",TRUE
"ComplexHeatmap","2.24.1",TRUE
"consensusOV","1.30.0",TRUE
"data.table","1.18.4",TRUE
"DESeq2","1.48.2",TRUE
"digest","0.6.39",TRUE
"edgeR","4.6.3",TRUE
"factoextra","1.0.7",TRUE
"fgsea","1.34.2",TRUE
"GenomeInfoDb","1.44.3",TRUE
"GenomicRanges","1.60.0",TRUE
"GenVisR",NA,FALSE
"ggrepel","0.9.8",TRUE
"jsonlite","2.0.0",TRUE
"limma","3.64.3",TRUE
"lme4","1.1.38",TRUE
"maftools","2.24.0",TRUE
"matrixStats","1.5.0",TRUE
"MutationalPatterns","3.18.0",TRUE
"org.Hs.eg.db","3.21.0",TRUE
"patchwork","1.3.2",TRUE
"pheatmap","1.0.13",TRUE
"progeny","1.30.0",TRUE
"ragg","1.5.0",TRUE
"RColorBrewer","1.1.3",TRUE
"readxl","1.4.5",TRUE
"remotes","2.5.0",TRUE
"Rtsne","0.17",TRUE
"scarHRD",NA,FALSE
"singscore","1.28.1",TRUE
"tidyverse","2.0.0",TRUE
"tximport","1.36.1",TRUE
"variancePartition","1.38.1",TRUE
"viridisLite","0.4.2",TRUE
