cell_line	sample	cluster_uncompressed_sha256	manifest_vcf_sha256	match
OV1369-R2	OV1369_R2_P66	6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012	6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012	YES
OV2085	OV2085_P64	f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5	f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5	YES
OV2295	OV2295_P61	03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41	03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41	YES
OV2295-R2	OV2295_R2_P70	ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02	ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02	YES
OV3133-R	OV3133_R_P71	cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972	cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972	YES
OV3133-R2	OV3133_R2_P58	eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e	eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e	YES
OV3291	OV3291_P46	26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48	26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48	YES
TOV1369	TOV1369_P65	743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d	743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d	YES
TOV2295-R	TOV2295_R_P57	9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632	9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632	YES
TOV2835EP	TOV2835EP_P64	4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472	4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472	YES
TOV2881EP	TOV2881EP_P64	a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99	a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99	YES
TOV2929D	TOV2929D_P57	fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3	fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3	YES
TOV3121D	TOV3121D_P68	a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7	a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7	YES
TOV3121EP	TOV3121EP_P68	c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6	c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6	YES
TOV3133D	TOV3133D_P66	5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f	5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f	YES
TOV3133G	TOV3133G_P65	60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079	60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079	YES
OV3331	OV3331_P54	d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52	d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52	YES
OV90	OV90_P63	0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4	0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4	YES
TOV81D	TOV81D_P23	a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895	a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895	YES
TOV21G	TOV21G_P59	831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988	831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988	YES
TOV3392D	TOV3392D_P69	a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4	a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4	YES
TOV112D	TOV112D_P83	a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6	a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6	YES
TOV2414	TOV2414_P65	c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba	c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba	YES
